DEPTO,lat,lon
1,-34.8634731144801,-56.174030195714
2,-30.4070624167322,-56.8155472789126
3,-34.7048062340561,-56.0461527421891
4,-32.4125306377028,-54.0471301566462
5,-34.231989499122,-57.7421090065981
6,-33.2910358783599,-56.27098299307
7,-33.5392065466607,-56.9057769218358
8,-34.0320262380934,-56.1316098042213
9,-34.2145770460562,-55.1539908988015
10,-34.8534767367469,-54.9833652669267
11,-32.2838721506471,-57.9599949650576
12,-32.9220275865841,-57.9755103341249
13,-31.0232248106038,-55.5084549892707
14,-34.1518781649692,-54.0316877122784
15,-31.359825220255,-57.8823388590987
16,-34.5147480494217,-56.6175615614211
17,-33.4166786936132,-57.98829706232
18,-31.9676400078912,-55.9947894362848
19,-33.1682344365212,-54.3591416454922
